#BLTrackFile VirtualDetector/DetBackward
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-39.2 -721.217 -0.5 -0.19439 -4.15653 -5.95125 9.5701 22 2 18105 18020 1
1189.16 1726.24 -0.5 0.258315 0.374159 -0.233235 11.4252 22 2 18213 18210 1
-39.8692 -72.2783 -0.5 -0.0186068 -0.038684 -0.509193 6.62953 22 2 18890 18889 1
-1322.82 29.6486 -0.5 -0.322188 0.0082443 -0.257403 8.97735 22 2 21842 21741 1
-1833.84 2400.21 -0.5 -0.140438 0.186658 -0.0829024 14.2692 22 2 22136 22135 1
643.365 -458.559 -0.5 0.225975 -0.186376 -0.418711 7.75615 22 2 23162 23138 1
-4339.78 7972.06 -0.5 -0.242801 0.445766 -0.0588187 33.9516 22 2 23678 23677 1
1246.98 -1041.55 -0.5 0.289453 -0.246533 -0.242834 10.0193 22 2 25081 25078 1
820.576 568.247 -0.5 0.452838 0.308044 -0.617399 8.30895 22 2 25695 25672 1
-1585.83 4283.87 -0.5 -0.107703 0.286876 -0.0694766 19.1057 22 2 25959 25672 1
761.187 458.071 -0.5 1.09179 0.611209 -1.4962 8.19325 22 2 26534 26533 1
-449.015 424.791 -0.5 -0.194202 0.181257 -0.436522 7.29711 22 2 28088 28087 1
-1358.21 -249.305 -0.5 -0.2293 -0.0506349 -0.189657 9.34198 22 2 30516 30495 1
-3086.44 2401.73 -0.5 -0.462693 0.358793 -0.147231 16.8195 22 2 32613 32612 1
-305.397 427.829 -0.5 -0.09755 0.137029 -0.329714 7.29104 22 2 35561 35560 1
-3921.72 1125.86 -0.5 -0.567292 0.1598 -0.153187 17.5311 22 2 35813 35778 1
6894.87 432.33 -0.5 0.403553 0.0221448 -0.0597772 26.6769 22 2 36407 36406 1
1935.4 499.541 -0.5 0.31055 0.0789172 -0.165782 10.8605 22 2 37038 37037 1
-40.0851 -620.975 -0.5 -0.0667567 -1.04886 -1.66451 7.19479 22 2 37252 37150 1
-435.831 -1221.95 -0.5 -0.147707 -0.419679 -0.339036 8.78715 22 2 37696 37695 1
695.644 2244.94 -0.5 0.117355 0.363538 -0.17511 12.106 22 2 37701 37700 1
-1667.99 648.375 -0.5 -0.712523 0.266685 -0.441584 10.4286 22 2 37947 37890 1
-500.76 2581.73 -0.5 -0.215812 1.10472 -0.437489 12.8092 22 2 38402 38401 1
-1323.35 739.638 -0.5 -0.447621 0.262043 -0.351074 9.73418 22 3 1275 1177 1
6145.77 -4597.94 -0.5 0.298442 -0.225583 -0.0478056 29.2739 22 3 1368 1364 1
