# This file contains the peak energy deposition density for each cube in the detector array.
# Each line corresponds to one cube, with the following format: (x, y, z, peak energy deposition density)
# x, y, z: The coordinates of the cube in the detector array
# peak energy deposition density: The maximum energy deposition density in the cube, in units of J/g
# this is for a 100mm X 100mm X 200mm lXe Target. Each cube is 10mm X 10mm X 10mm
x	y	z	peak_energy_deposition_density
0.0	5.0	7.0	2.4066324951545477e-12
0.0	5.0	8.0	2.2717683920739194e-12
0.0	5.0	9.0	3.880559448725859e-12
0.0	5.0	10.0	5.232584899061048e-12
0.0	5.0	11.0	6.824667840178763e-12
0.0	5.0	12.0	5.312440190839086e-12
0.0	5.0	13.0	9.202296269537987e-12
0.0	5.0	14.0	9.674038569104108e-12
0.0	5.0	15.0	1.1632823133825907e-11
0.0	5.0	16.0	1.1115369909117017e-11
0.0	5.0	17.0	1.3100154666788034e-11
0.0	5.0	18.0	1.2386036065674866e-11
0.0	5.0	19.0	1.2689661385831262e-11
0.0	5.0	20.0	1.3897225132794307e-11
0.0	6.0	0.0	1.1079162106139576e-13
0.0	6.0	1.0	3.000991695215633e-13
0.0	6.0	2.0	6.48588614608493e-13
0.0	6.0	3.0	5.881449412338084e-13
0.0	6.0	4.0	8.586215141719762e-13
0.0	6.0	5.0	1.3346297330008467e-12
0.0	6.0	6.0	1.4729562011889466e-12
0.0	6.0	7.0	1.900325623976806e-12
0.0	6.0	8.0	2.500499423457578e-12
0.0	6.0	9.0	3.4825668441387787e-12
0.0	6.0	10.0	4.805195888391538e-12
0.0	6.0	11.0	5.6224778788279145e-12
0.0	6.0	12.0	6.375939539619951e-12
0.0	6.0	13.0	6.498672026714798e-12
0.0	6.0	14.0	8.673037858524368e-12
0.0	6.0	15.0	1.0765111655058e-11
0.0	6.0	16.0	1.2427790281065348e-11
0.0	6.0	17.0	1.411026508405689e-11
0.0	6.0	18.0	1.0732612326184386e-11
0.0	6.0	19.0	1.048524105282886e-11
0.0	6.0	20.0	1.1751067284112105e-11
0.0	7.0	0.0	1.3322062902818078e-13
0.0	7.0	1.0	5.084132694007659e-13
0.0	7.0	2.0	5.77004377186644e-13
0.0	7.0	3.0	5.918843911142623e-13
0.0	7.0	4.0	1.20727575069441e-12
0.0	7.0	5.0	1.7204381118292076e-12
0.0	7.0	6.0	1.8464010951789286e-12
0.0	7.0	7.0	2.4939986216601223e-12
0.0	7.0	8.0	2.9375676613303014e-12
0.0	7.0	9.0	3.5960550011780973e-12
0.0	7.0	10.0	4.806806075366149e-12
0.0	7.0	11.0	5.252882832354828e-12
0.0	7.0	12.0	6.349917911630796e-12
0.0	7.0	13.0	6.833278326424659e-12
0.0	7.0	14.0	6.9879553251728175e-12
0.0	7.0	15.0	8.410978816160535e-12
0.0	7.0	16.0	7.979920306816032e-12
0.0	7.0	17.0	1.0060815094116553e-11
0.0	7.0	18.0	9.131276382965615e-12
0.0	7.0	19.0	1.0416805438536932e-11
0.0	7.0	20.0	1.2269505504754384e-11
0.0	8.0	0.0	5.1950129746300986e-14
0.0	8.0	1.0	1.3468226118697884e-13
0.0	8.0	2.0	3.584909554100216e-13
0.0	8.0	3.0	5.091436258242068e-13
0.0	8.0	4.0	9.518172036565655e-13
0.0	8.0	5.0	8.326760133370195e-13
0.0	8.0	6.0	1.27420191428434e-12
0.0	8.0	7.0	1.572214860475355e-12
0.0	8.0	8.0	2.0600210598832934e-12
0.0	8.0	9.0	2.800784685062726e-12
0.0	8.0	10.0	2.8483266251909962e-12
0.0	8.0	11.0	3.40517797719808e-12
0.0	8.0	12.0	5.809537821962587e-12
0.0	8.0	13.0	5.667004101613749e-12
0.0	8.0	14.0	7.119608798337763e-12
0.0	8.0	15.0	7.276566462699604e-12
0.0	8.0	16.0	6.954830580275051e-12
0.0	8.0	17.0	5.5576911990866995e-12
0.0	8.0	18.0	7.421501155796309e-12
0.0	8.0	19.0	7.496783119228816e-12
0.0	8.0	20.0	6.289187294551879e-12
0.0	9.0	0.0	1.5798493015839129e-13
0.0	9.0	1.0	1.7964909817286226e-13
0.0	9.0	2.0	9.263743683515113e-13
0.0	9.0	3.0	3.088241172628097e-13
0.0	9.0	4.0	8.113590116073765e-13
0.0	9.0	5.0	6.912400437597057e-13
0.0	9.0	6.0	1.1433323223957328e-12
0.0	9.0	7.0	1.4495477348083736e-12
0.0	9.0	8.0	1.9794605472451974e-12
0.0	9.0	9.0	1.859637530882778e-12
0.0	9.0	10.0	1.9762108252505063e-12
0.0	9.0	11.0	3.115751793862063e-12
0.0	9.0	12.0	4.100221427689446e-12
0.0	9.0	13.0	3.730666373509208e-12
0.0	9.0	14.0	5.951231172833617e-12
0.0	9.0	15.0	5.050681577808185e-12
0.0	9.0	16.0	5.76523444941343e-12
0.0	9.0	17.0	5.580273880045071e-12
0.0	9.0	18.0	6.22770853531546e-12
0.0	9.0	19.0	7.0837291205381495e-12
0.0	9.0	20.0	5.535921505306066e-12
