#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
8208.7 5711.15 995.499 2.78618 1.94077 -0.00648916 36.7056 22 4 7389 7364 1
-8375.56 5463.51 1770.58 -0.48888 0.318219 0.0406788 37.0548 22 4 7603 7547 1
-8905.04 4549.76 775.615 -0.579247 0.295647 -0.0185241 37.033 22 4 8567 8546 1
9241.25 -3820.9 191.167 0.696535 -0.291235 -0.0610422 37.261 22 4 9725 9695 1
9674.24 2531.63 1525.22 2.40603 0.628366 0.114578 36.9023 22 4 11781 11780 1
-8266.44 5627.25 1818.01 -0.594122 0.403993 0.0559008 37.0168 22 4 13311 13310 1
-7688.63 6394.13 1441.69 -0.326016 0.270701 0.0189524 36.689 22 4 14380 14379 1
-5479.89 8364.86 1909.56 -1.19665 1.82303 0.185089 37.0372 22 4 23003 22882 1
-5370.44 -8435.54 198.408 -0.18602 -0.294079 -0.0298412 37.0487 22 4 24660 24659 1
9868.32 1617.46 829.191 0.73813 0.120074 -0.013798 36.6781 22 4 26539 25966 1
-7599.7 -6499.58 336.936 -4.029 -3.4448 -0.376264 36.9639 22 4 29059 28985 1
2769.16 -9608.94 187.294 0.244224 -0.853599 -0.0751207 36.9506 22 4 29849 29791 1
-7058.34 7083.78 1886.61 -0.359653 0.360503 0.0425111 37.01 22 4 31279 31278 1
3919.12 9200.03 1782.43 0.654453 1.54028 0.132788 36.7577 22 4 33886 33802 1
1322.71 -9912.14 790.701 0.111533 -0.833206 -0.0221133 36.858 22 4 36446 36444 1
-8338.45 5519.98 1062.03 -0.945585 0.62556 0.00535756 36.7827 22 4 37712 37711 1
2301.59 -9731.53 1646.18 0.117167 -0.496535 0.0290722 37.0229 22 5 2630 2629 1
-7122.7 7019.06 143.665 -0.809373 0.798363 -0.101866 36.9506 22 5 4378 4377 1
-8677.33 4970.3 212.268 -0.40928 0.236587 -0.0408125 37.0501 22 5 6356 6019 1
4069.16 -9134.66 1259.35 4.09523 -9.18137 0.288969 36.5944 22 5 7581 7411 1
9275.06 3738.09 700.789 1.23007 0.499595 -0.0352934 36.6099 22 5 10298 10272 1
3940.84 -9190.74 1920.16 0.222172 -0.517419 0.0475355 37.0593 22 5 17970 16290 1
6063.31 7952.12 1913.23 0.385525 0.504652 0.0545458 37.0208 22 5 19318 19314 1
-9538.51 -3002.8 415.002 -0.359355 -0.114985 -0.0241355 36.9612 22 5 19530 19314 1
2899.71 9570.35 807.798 0.104351 0.345851 -0.00842898 36.8833 22 5 20718 20717 1
-4013.58 -9159.21 1491.02 -0.15251 -0.347931 0.0157118 37.0129 22 5 23278 23277 1
-9220.92 3869.7 45.0009 -1.10652 0.464718 -0.118737 36.9337 22 5 24103 23872 1
-5593.46 8289.34 702.299 -0.285471 0.423552 -0.0151504 36.6995 22 5 25445 25426 1
-1568.26 -9876.26 962.124 -0.0727351 -0.463129 -0.00530651 36.9382 22 5 26071 26070 1
7582.35 6519.82 35.022 1.6653 1.43818 -0.207049 36.783 22 5 28767 28694 1
9628.58 -2700.09 431.611 0.837747 -0.237472 -0.0537693 36.869 22 5 29750 29242 1
481.694 -9988.39 1627.82 0.0276341 -0.591514 0.037547 36.7783 22 6 1113 1 1
-221.381 -9997.55 1673.91 -0.00890665 -0.403187 0.0280928 37.2865 22 6 9676 9675 1
-7594.52 6505.64 465.463 -0.381124 0.323173 -0.0299641 36.9861 22 6 16056 15976 1
-5811.66 8137.85 966.289 -0.639806 0.893539 -0.00631719 36.7416 22 6 16133 16132 1
4533.01 8913.57 1195.51 7.8376 15.4413 0.202102 36.9236 -11 6 17174 17173 1
9870.54 -1603.89 70.3681 0.344821 -0.0565499 -0.0340941 37.0088 22 7 2040 1969 1
-8545.38 5193.9 1244.17 -1.13191 0.690984 0.0229809 36.9201 22 7 2349 2348 1
-9812.74 -1926.17 1703.59 -0.413662 -0.0832315 0.0270788 37.0785 22 7 2942 2939 1
-9995.06 -314.313 1424.22 -0.565988 -0.0183793 0.020705 36.8923 22 7 9030 8880 1
1667.96 9859.91 1231.68 0.0845512 0.503822 0.0115769 36.812 22 7 11435 11410 1
-9983.44 575.273 769.625 -0.843671 0.0467512 -0.0240718 36.8787 22 7 12884 12752 1
8023.65 5968.34 679.715 1.27232 0.948015 -0.0533661 36.7232 22 7 18271 18250 1
-9517.15 3069.84 70.3293 -1.01797 0.328835 -0.104915 37.0026 22 8 13832 13720 1
-3500.27 9367.4 1911.55 -0.129997 0.352794 0.0315909 37.116 22 8 13877 13835 1
-7397.48 -6728.84 1242.87 -2.50721 -2.27864 0.0647065 36.9132 22 8 18083 18082 1
