# Det6_5_19
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.122619 -1.76583 -5 0.314566 -0.0215057 2.29205 3.9562 22 1 1743 1 1 0.602745 0.602745 42 
-5 1.18091 -4.23114 11.9411 -10.6446 223.969 3.9561 22 2 5059 4876 1 11.258 11.258 274 
3.03112 0.84632 -5 0.296366 -0.0684916 1.83243 3.95538 22 3 5452 5186 1 57.1749 57.1749 575 
-3.0252 1.71975 -5 -0.0221154 -0.00823898 0.487846 3.95303 22 4 2129 1819 1 141.176 141.176 1162 
-5 -4.94864 3.46601 1.23907 1.20012 6.17369 3.98914 22 5 3334 3263 1 14.8478 14.8478 151 
-2.69243 -0.274019 -5 -0.064139 -0.294777 0.38207 3.96735 22 6 1480 1425 1 2.31765 2.31765 109 
2.88184 1.00309 -5 7.77395 -4.79645 26.0362 3.96356 22 7 1069 1 1 3.9548 3.9548 114 
1.44683 -5 4.5838 -0.0587187 0.364121 -0.0551836 4.06003 22 8 1299 1297 1 147.465 147.465 1355 
3.30405 -5 -4.25121 0.469582 0.0565928 -0.193416 4.02985 22 9 2312 2299 1 18.1285 18.1285 196 
-1.97255 1.09756 -5 9.04392 20.7516 53.962 3.95552 11 10 1 0 1 71.6761 71.6761 617 
-3.99656 5 1.84085 -0.284417 -0.404857 0.127742 4.04935 22 11 3011 3010 1 16.7618 16.7618 111 
4.24611 0.958689 -5 0.052401 -0.00614489 0.387693 3.95667 22 12 2117 1 1 6.21564 6.21564 95 
-1.41898 4.3035 -5 -0.385795 2.73083 65.3804 3.95318 11 13 1640 1341 1 99.5455 99.5455 925 
-0.100381 -0.666382 -5 0.043981 -0.730976 7.4572 3.95408 22 14 2981 2087 1 18.7631 18.7631 234 
-5 0.202721 -1.70923 0.275454 0.420147 -0.0933894 4.08158 22 15 2348 2344 1 2.62221 2.62221 68 
-4.18397 0.605512 -5 0.336527 -0.456172 0.58056 3.96294 22 16 4750 4532 1 8.44797 8.44797 140 
4.27266 2.17013 -5 0.140445 0.0806771 0.436938 3.96362 22 17 2966 2815 1 5.98382 5.98382 157 
-3.56413 0.402748 -5 -0.225595 -0.108385 0.229199 3.99801 22 18 2238 2237 1 7.54064 7.54064 68 
-5 -1.4766 1.3841 0.567916 0.3397 -0.273971 3.98768 22 19 2835 2834 1 21.7639 21.7639 313 
-5 -3.69028 0.539676 1.41595 -0.622883 3.48589 3.97701 22 20 1125 1 1 0.596892 0.596892 52 
-3.88791 5 -2.5303 1.2381 -0.185207 0.121825 3.97468 11 21 1325 1287 1 70.3741 70.3741 826 
-5 -1.52866 -4.56802 1.0358 -0.510755 3.20325 3.96483 22 22 2707 2589 1 8.86754 8.86754 169 
-4.322 0.941159 -5 0.0718621 0.0254524 1.48739 3.95467 22 23 1611 1509 1 84.7304 84.7304 947 
