# Det1_9_18
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
4.58543 -5 -1.13802 -0.463434 0.533212 1.69054 3.95868 22 1 23629 23360 1 0 0 1 
2.45904 -5 -4.15194 -0.866824 0.519446 1.23225 3.99298 22 3 3250 3116 1 0 0 1 
-2.4354 -2.73643 -5 -0.156748 0.143538 0.234756 4.16053 22 4 15930 15926 1 0 0 1 
-1.0883 -5 3.69376 -0.421563 0.425926 0.838407 4.00213 22 5 29797 29739 1 0 0 2 
5 1.99778 1.52806 -0.707397 0.0489945 -0.380874 4.07142 22 7 15541 15514 1 0 0 7 
5 -2.08113 4.78611 -0.620153 0.0657888 -0.243432 4.21724 22 8 4048 4047 1 0 0 1 
5 -2.63705 -2.73771 -0.997286 0.151295 0.214011 4.0077 22 9 7933 7922 1 0.552087 0.552087 16 
2.10079 -5 0.982388 -0.904776 0.768577 1.40818 4.01033 22 10 17117 14966 1 0 0 1 
-3.25057 -4.22882 5 -0.48544 0.646229 -0.198679 4.1251 22 11 21117 21112 1 0.537458 0.537458 31 
-3.19084 -3.62424 -5 0.344681 0.159057 0.342076 4.0169 22 12 1821 1818 1 0.510904 0.510904 7 
2.47431 4.13005 -5 -0.25002 0.301487 0.256802 4.0381 22 13 21198 21060 1 0 0 5 
-4.30481 -5 4.12728 -0.359081 0.209625 0.0410778 4.12945 22 14 6081 4895 1 0 0 4 
5 -0.0316622 0.439023 -0.491215 0.315839 -0.112192 4.16585 22 17 2572 2571 1 0 0 2 
5 2.45001 2.33167 -0.509093 0.038754 0.0210309 4.09838 22 18 2401 2400 1 0 0 2 
4.75963 1.33831 -5 -0.692753 0.86353 2.35343 3.96684 22 19 27003 26719 1 0 0 1 
5 -0.606098 4.35138 -0.430991 0.317125 -0.0290767 4.08627 22 21 8040 1 1 0.340645 0.340645 35 
0.0205562 -5 3.01814 0.244056 0.211163 0.101209 4.07428 22 22 40271 40270 1 0.0296422 0.0296422 12 
2.5768 0.158837 -5 -0.591594 -0.0362354 0.357971 4.12494 22 23 10653 10652 1 0.383543 0.383543 3 
5 4.22926 0.836717 -2.65554 2.66601 2.8937 4.04421 22 24 1226 1224 1 0.0908242 0.0908242 4 
5 -2.14627 -2.25272 -0.227941 0.167944 0.115094 4.14911 22 25 1305 1304 1 0.121711 0.121711 3 
5 2.51061 2.95462 -0.435032 0.491206 0.3544 4.03234 22 26 31102 30653 1 0.1823 0.1823 2 
2.00564 -0.251534 -5 -0.151694 0.529861 0.879687 3.99331 22 29 1332 1 1 1.14842 1.14842 6 
5 -4.03889 2.90643 -0.301203 0.385241 -0.148279 4.11557 22 30 8699 8696 1 0 0 2 
3.79384 -5 -2.79001 -0.312432 0.201292 0.26673 4.00849 22 31 26582 26380 1 0 0 1 
5 0.149399 -1.2351 -0.0725945 0.392832 0.392927 4.00848 22 32 1103 1040 1 0 0 1 
2.78058 -5 -2.74302 -0.52663 0.5307 0.596179 3.99682 22 33 4251 4211 1 0 0 2 
-3.88411 -5 -3.82409 -0.62932 0.211196 0.3657 4.03524 22 34 1589 1458 1 0 0 2 
2.77073 -5 1.77288 -0.26271 0.425586 -0.104786 4.0736 22 35 15010 15005 1 0 0 1 
5 -4.71511 -1.61237 -0.393267 0.195557 0.328497 4.00063 22 36 29924 29919 1 0.670561 0.670561 24 
-1.88157 -5 3.42357 -0.18286 0.541595 -0.0835363 4.09431 22 37 26521 26020 1 0 0 3 
-0.541573 -5 4.77199 -0.2497 0.184478 -0.0731435 4.17725 22 38 10212 1 1 0.170703 0.170703 4 
5 -2.68063 -4.19402 -0.573317 0.615703 1.06888 3.97101 22 40 3937 3558 1 0 0 2 
0.162485 -1.99195 -5 -0.217719 -0.112007 0.424108 4.06255 22 41 1622 1621 1 0.281111 0.281111 2 
-3.60488 -5 -0.706033 -1.52904 1.20644 1.04849 4.05036 22 42 30047 30001 1 0 0 1 
0.752048 -5 4.1304 -0.282367 0.368285 -0.454233 4.14945 22 44 3220 3185 1 0 0 2 
5 0.139213 -0.16521 -0.472523 -0.0647409 -0.11745 4.20535 22 45 7083 7082 1 0 0 2 
3.26419 -0.044307 -5 -0.281222 0.133262 0.387572 4.00695 22 46 15629 15628 1 0.326196 0.326196 3 
4.32343 -5 0.830951 -0.274442 0.313236 -0.0909069 4.17985 22 48 7850 7817 1 0.189689 0.189689 3 
-3.89478 -0.0973779 -5 -0.496492 0.657647 0.600211 4.01742 22 49 32845 29944 1 0 0 1 
4.63558 -5 -2.48528 -0.146489 0.221233 0.0546835 4.07359 22 51 12716 12714 1 0.277392 0.277392 22 
1.85502 0.929315 5 0.0769962 0.088847 -0.471488 4.1144 22 52 6224 6222 1 0.14681 0.14681 13 
-4.19971 -2.00697 -5 -1.33308 1.57624 4.67371 3.95874 22 53 39849 39825 1 0 0 1 
5 -3.74425 -2.61341 -0.584953 0.157577 0.234855 4.06151 22 54 3116 3083 1 0 0 5 
-1.78843 -5 2.65873 -1.91202 1.25281 2.62487 4.00874 22 56 8643 8508 1 0 0 2 
5 -0.841175 3.71612 -0.2415 0.0515557 0.267137 4.08617 22 57 29460 29456 1 0.0536056 0.0536056 2 
1.90866 -5 -3.66613 -0.172627 0.201216 0.0312025 4.10553 22 59 1827 1711 1 0.266675 0.266675 17 
4.79157 0.102791 -5 -0.223025 0.23201 0.396927 3.97181 22 60 10738 10724 1 0 0 3 
3.36947 3.05315 5 -0.802078 1.74046 -0.417299 4.15138 22 61 32830 32829 1 0 0 2 
5 1.50706 3.09604 -0.337327 0.382272 -0.0346187 4.17123 22 63 10452 10420 1 0 0 1 
3.78047 -1.53042 -5 -0.927186 0.615666 0.408801 4.04102 22 64 25065 24932 1 0 0 1 
5 -3.40902 -3.28916 -0.330763 0.018216 0.0770816 4.10608 22 65 4652 4651 1 0.749662 0.749662 23 
5 -0.579703 -0.852059 -0.332803 0.316961 -0.223378 4.21887 22 66 8309 8307 1 0.290949 0.290949 3 
