# Det4_9_9
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-1.25507 -5 4.05547 -0.197328 0.69916 -0.669888 3.93376 22 1 10847 10774 1 0 0 2 
0.110042 -1.64771 5 -0.150869 0.25817 -0.153196 3.8436 22 2 4738 4735 1 0 0 1 
-3.69125 -5 3.14357 -0.269173 0.504878 0.430482 3.71122 22 3 1184 1 1 0 0 3 
5 -4.78074 -4.6324 -0.198806 0.44785 -0.145005 3.79157 22 4 19654 19653 1 0 0 1 
-2.56482 -2.95185 -5 -0.196039 1.17215 1.05721 3.67645 22 5 25626 25121 1 0 0 1 
4.15232 -0.645127 5 -0.146561 0.420898 -0.249969 3.83329 22 7 6096 6095 1 0 0 2 
-3.58787 -5 2.67276 -0.0528331 0.354047 -0.528588 4.24582 22 10 10540 10539 1 0.638148 0.638148 17 
1.46921 0.832868 5 -1.39511 2.20922 -4.024 4.11857 22 11 2347 2346 1 0 0 3 
5 1.11491 -1.85713 -0.0558544 0.494702 0.115195 3.73595 22 12 1466 1452 1 0 0 1 
-1.02455 3.25735 5 -0.14732 0.314688 -0.300287 3.96254 22 13 17964 17963 1 0 0 1 
5 0.343561 0.629854 -0.307703 0.461601 -0.384112 3.88476 22 14 3477 3476 1 0 0 2 
-3.21684 -5 -0.727635 -0.242436 0.543998 0.354183 3.7381 22 15 39150 39104 1 0 0 1 
-2.38416 -5 -1.63378 -0.292819 0.180864 0.37771 3.72886 22 16 18822 18821 1 0.0445648 0.0445648 2 
-3.82569 -5 1.14413 -0.0943092 0.751744 -1.32419 4.21749 22 17 8491 8445 1 0 0 2 
2.25587 -5 -3.04065 -0.0126126 0.25912 -0.259771 3.80919 22 18 25777 25750 1 0.206824 0.206824 14 
2.06892 -5 0.302357 -1.05684 4.16172 4.43189 3.69623 22 19 27006 26719 1 0 0 1 
-3.91552 -4.75686 5 0.104292 0.390869 -0.792457 4.04168 22 20 3984 3983 1 0.0746815 0.0746815 3 
-2.30394 -5 4.68138 -0.0785762 0.207186 -0.0289738 3.74248 22 22 3782 2936 1 0.222993 0.222993 27 
3.68626 -5 0.439034 -2.18089 5.30125 -2.22638 3.81215 22 23 5762 5715 1 0 0 2 
0.706664 -5 0.33164 -0.0809867 0.396798 -0.269401 3.79318 22 24 42773 42768 1 0 0 1 
2.80508 -3.78661 5 0.0998954 0.15151 -0.220829 4.06745 22 25 17455 17454 1 0 0 2 
-4.78601 -1.46293 5 -0.213341 0.332944 -0.323656 4.01732 22 26 11960 11945 1 0 0 2 
2.42775 -5 -3.06322 0.873806 2.12266 0.0320607 3.72999 22 27 22823 22745 1 0 0 3 
0.216924 -3.02141 5 0.126456 0.326681 -0.372033 4.09497 22 30 22034 22019 1 0.0589256 0.0589256 3 
-2.13726 -5 -2.63569 -0.112784 0.345687 -0.359027 3.82272 22 32 3849 3791 1 0 0 2 
2.2502 -5 2.10273 0.548838 2.26139 1.11747 3.71502 22 33 10013 9934 1 0 0 3 
1.4882 -5 4.9227 -0.109285 0.211149 -0.00564868 3.76476 22 34 4779 4692 1 0.193178 0.193178 29 
-4.88021 2.92232 5 -0.0237178 0.774345 -0.585842 4.19272 22 35 27379 27378 1 0 0 1 
4.25634 -5 -1.26819 0.106415 0.234512 -0.23086 3.78735 22 37 10457 10207 1 0 0 2 
5 -4.39355 -0.539815 -0.213282 -0.106432 -0.178025 4.05143 22 38 11422 11393 1 0 0 1 
-4.74127 -5 -4.10618 0.202858 0.41092 -0.226083 3.78916 22 39 27472 27471 1 0 0 1 
-3.46534 -5 3.94335 -0.301576 0.550742 0.17862 3.76088 22 41 22025 22024 1 0 0 1 
5 4.19842 -1.86028 -0.644516 1.79953 0.0838541 3.85389 22 42 17406 17405 1 0 0 2 
4.09693 1.52972 5 0.0699972 -0.0931808 -0.237248 3.97104 22 43 1908 1894 1 0 0 2 
-4.78684 0.0430178 -5 0.097412 0.0595591 0.164699 3.82375 22 44 20606 20605 1 0.200017 0.200017 24 
5 -3.86198 -0.622544 -0.135341 0.259599 0.126682 3.7697 22 46 50735 50569 1 0.0232035 0.0232035 2 
5 -4.79493 1.31433 -0.507556 1.15381 0.390065 3.73386 22 47 29453 29346 1 0 0 1 
5 -2.93792 0.641031 -0.186756 1.0579 -1.0214 4.01855 22 51 3837 3638 1 0.261095 0.261095 22 
-4.4908 -5 -3.68876 -0.147083 0.606301 0.117642 3.69095 22 52 18874 18723 1 0 0 1 
-0.0185326 -5 -0.779141 0.302635 0.0855963 -0.172349 3.81713 22 53 26001 26000 1 0 0 1 
-1.01894 4.77239 5 -0.166984 0.164588 -0.315 4.10242 22 54 18923 18921 1 0 0 2 
-3.61781 -5 -2.12722 0.245317 0.247084 -0.102456 3.98271 22 58 24188 24187 1 0 0 2 
5 -4.43601 4.04213 -0.158655 0.373689 -0.235814 3.70501 22 59 43724 43696 1 0 0 1 
1.5388 -5 3.56908 0.0523133 0.507393 0.0305821 3.73735 22 60 14168 14143 1 0.0662509 0.0662509 2 
4.63269 4.09848 5 -0.0445754 0.270871 -0.336608 4.13035 22 61 12427 12426 1 0 0 1 
