# Det9_8_10
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
0.777991 -5 4.33411 0.627342 0.341624 -0.266904 4.93886 22 1 8130 7901 1 0 0 1 
-3.67587 -4.58165 5 0.380365 0.204895 -0.272874 3.9503 22 2 6107 6106 1 0.153177 0.153177 2 
-5 0.983745 -1.49409 0.575798 0.501574 0.102254 3.76953 22 3 7134 7063 1 0.421543 0.421543 3 
-1.61213 -5 2.41014 0.0495027 0.459792 -0.187424 3.99804 22 4 39016 39015 1 0.498673 0.498673 24 
-5 4.55386 -2.89976 2.10566 2.42263 0.102071 3.84053 22 5 1711 1668 1 0 0 1 
-5 -4.0881 3.58962 0.385885 0.115179 0.144795 3.76598 22 7 17853 17797 1 0 0 2 
3.49581 -0.0759782 -5 0.777081 0.633149 0.253041 3.76992 22 8 10419 10332 1 0 0 1 
-5 2.12531 3.06668 0.395127 0.323995 -0.00462962 3.85356 22 9 26206 26161 1 0 0 1 
1.25047 -3.93285 -5 0.309844 -0.0821064 0.127439 3.73523 22 11 1682 1595 1 0.344365 0.344365 42 
-5 2.22077 -3.80567 0.151932 0.158329 -0.461485 4.25062 22 13 19191 19190 1 0 0 2 
1.09659 -5 -0.839816 0.28428 0.377716 -0.654453 3.98093 22 14 2452 2363 1 0.669025 0.669025 34 
-0.46438 -5 2.90889 1.2019 0.606665 2.17038 3.71658 22 16 17308 17279 1 0 0 1 
4.71721 1.21788 5 0.382364 0.204494 -0.298012 4.1143 22 17 36866 36843 1 0 0 1 
-1.08724 -4.18353 -5 1.44879 0.398722 0.574353 3.74359 22 18 26074 26015 1 0 0 3 
-5 -1.36752 -1.42878 0.672648 0.544354 -0.135072 3.8259 22 23 17710 17709 1 0 0 1 
-5 2.73584 -4.94523 0.716306 0.772338 -0.578192 4.01107 22 25 3705 3704 1 0 0 2 
4.0522 -5 -4.07178 0.362072 0.357792 -0.0448214 3.96838 22 28 13435 13433 1 0 0 1 
-5 -2.24201 2.73174 0.136125 0.276584 0.299468 3.82992 22 29 33980 33921 1 0 0 1 
-2.37748 5 -2.69864 0.0492318 -0.15655 -0.0222758 3.88283 22 33 28334 28306 1 0.508333 0.508333 42 
-3.15286 -5 0.594192 1.01147 0.69465 -0.0612369 3.77997 22 34 1866 1841 1 0.0385922 0.0385922 4 
-5 -1.44234 -4.8658 0.423673 0.124069 -0.00711518 3.90039 22 38 11823 11804 1 0 0 2 
-2.20769 -1.44509 5 0.148494 0.245075 -0.186747 4.09395 22 39 51796 51795 1 0 0 1 
2.29135 -5 3.67494 0.180807 0.135697 -0.134282 3.95461 22 42 3092 3069 1 0 0 3 
-5 2.3526 2.55219 0.659406 0.678777 0.647511 3.7308 22 43 13780 13599 1 0 0 3 
4.16675 -3.42448 -5 0.315365 0.24699 0.473712 3.77571 22 47 1973 1959 1 0 0 2 
-5 0.798053 1.8253 1.82803 1.29272 0.141437 3.77068 22 50 6298 6271 1 0 0 1 
-4.02133 -5 -3.78096 0.421283 0.34685 -0.141863 3.83197 22 51 2248 2187 1 0 0 3 
2.20284 1.52335 5 0.38646 0.170234 -0.557232 4.167 22 52 22070 22040 1 0.698548 0.698548 36 
2.80104 -5 -1.75102 0.305595 0.26497 0.302936 3.77627 22 54 49386 49385 1 0 0 2 
2.42119 -5 3.64052 0.605246 0.372675 -0.00676839 3.82068 22 55 8916 8820 1 0.531414 0.531414 44 
-5 2.50433 2.28178 2.91905 2.71038 -0.490334 3.83833 22 56 28110 28056 1 0 0 2 
-5 4.57883 -3.63597 0.316868 0.151374 -0.466061 3.93852 22 59 20732 20640 1 0 0 2 
-5 -3.18229 4.79539 0.452623 0.192108 0.437812 3.75874 22 60 37123 37021 1 0 0 1 
-2.94545 -4.3798 -5 0.26438 0.295919 0.321955 3.75551 22 61 31593 31578 1 0 0 1 
-5 4.07166 3.32747 0.716179 0.15562 -0.310333 3.88495 22 62 14993 14934 1 0 0 3 
3.55417 -0.964906 -5 4.61406 2.95311 7.30385 3.70576 22 66 52399 52397 1 0 0 1 
-5 2.71115 1.43385 2.53443 1.73167 0.669664 3.76809 22 67 27117 27039 1 0 0 1 
-2.46413 -5 3.90797 2.34644 1.63055 0.22249 3.81178 22 68 21469 21440 1 0 0 2 
-0.0618146 -5 -0.626238 1.36777 0.873674 -3.79333 4.3331 22 69 25645 25502 1 0 0 3 
-5 0.516438 -1.74159 0.498555 -0.135647 -0.190314 3.95318 22 70 1030 1 1 0.187194 0.187194 2 
-3.58784 -5 -1.12341 0.30829 -0.791634 5.4053 3.71485 11 71 18116 18081 1 0.0209474 0.0209474 4 
1.29168 -2.30816 5 0.0176323 0.287921 -0.30087 4.00608 22 72 14868 14867 1 0.416481 0.416481 20 
-5 -1.883 -1.74252 0.415143 0.302195 0.18016 3.75656 22 73 3240 3087 1 0 0 1 
-5 0.803081 -0.808441 0.366255 0.278182 0.222693 3.7609 22 74 8938 8937 1 0 0 1 
2.19714 -5 -2.2775 0.278165 0.154761 -0.399741 4.15395 22 75 44152 44151 1 0 0 1 
-2.75222 -5 1.66465 0.602435 0.350349 0.787004 3.73184 22 77 29448 27758 1 0.470175 0.470175 10 
-5 -1.79082 -3.77887 0.299126 0.0103367 0.0196093 3.82517 22 79 32025 31494 1 0.299713 0.299713 16 
-1.10669 -5 -4.49774 0.372596 0.416144 0.238752 3.79131 22 80 3608 3607 1 0.377277 0.377277 43 
-5 2.4122 3.68374 0.336089 0.20855 -0.116139 4.00871 22 81 32575 32573 1 0 0 1 
5 -3.76259 4.75459 -0.111221 0.175802 0.0592077 3.81559 22 83 39013 38980 1 0.186371 0.186371 11 
0.244801 -2.69828 -5 0.0391996 0.244633 0.0998506 3.88583 22 84 22340 22311 1 0 0 1 
4.16285 -5 0.903563 0.474626 0.186537 0.0324692 3.84609 22 86 6876 6875 1 0 0 1 
0.0815171 -5 3.11029 0.430385 0.231325 -0.0626384 3.93927 22 88 12155 12152 1 0 0 1 
-4.62794 2.67518 5 0.0862449 0.300875 -0.138716 4.07687 22 89 3101 3100 1 0 0 1 
3.54172 -5 3.58351 -0.010421 0.184695 0.00149805 3.82213 22 90 45899 45841 1 0.184797 0.184797 15 
1.65271 -2.10683 5 0.117792 0.0435301 -0.495328 3.84653 22 91 5861 5860 1 0.904918 0.904918 54 
-5 -0.923768 -1.55195 0.280032 0.283536 -0.319858 4.00122 22 92 5292 5291 1 0 0 2 
1.46331 5 -2.7601 -0.165243 -0.222639 -0.00307873 3.81472 22 94 23471 23469 1 0 0 1 
-5 -0.234198 -1.28715 0.278976 0.115625 -0.157884 3.93743 22 96 4633 4631 1 0 0 3 
-2.49404 -5 1.70092 0.38243 0.291086 0.262414 3.76967 22 98 35184 34844 1 0 0 1 
-2.57503 -5 2.67397 0.219181 0.329923 -0.249616 3.94013 22 100 25606 25580 1 0 0 1 
-5 1.09762 -2.471 0.251695 0.236772 0.0192334 3.77502 22 102 2982 1 1 0.345754 0.345754 22 
4.50268 -5 -4.42294 0.272938 0.430396 -0.0372033 3.85779 22 103 34631 34629 1 0 0 2 
-5 -4.71202 -4.53485 0.423181 0.274712 -0.0810625 3.81188 22 105 50510 50509 1 0 0 1 
-5 -1.68466 3.70573 0.21522 0.204625 0.415847 3.75928 22 108 13160 13159 1 0 0 1 
2.46022 -3.11501 5 0.185312 0.134941 -0.0726005 3.92212 22 109 29076 27782 1 0 0 1 
-4.11643 -5 2.30865 0.233854 0.451997 0.0461646 3.77385 22 110 5356 5355 1 0.275564 0.275564 4 
0.965864 -2.6028 5 0.255322 0.330454 -0.296 3.85121 22 112 10832 10827 1 0 0 3 
-3.4822 -4.6291 -5 1.17622 -0.275422 1.71084 3.68248 22 113 15250 14858 1 0 0 2 
0.448755 -5 1.55598 0.632924 0.406173 0.129185 3.78652 22 115 44730 44700 1 0 0 1 
-3.42719 -4.921 5 -0.256426 0.299111 -0.432588 4.26904 22 116 7702 7701 1 0 0 1 
-5 -4.83806 -2.16034 0.200368 0.412321 -0.225752 3.88756 22 117 18623 18602 1 0 0 1 
-3.68667 -5 4.27108 0.368039 0.137777 -0.0501599 3.87194 22 119 40676 40650 1 0.0025652 0.0025652 4 
-1.93791 -5 -4.65713 2.42624 2.32438 6.1425 3.69283 22 120 42621 42474 1 0 0 1 
3.46927 -2.98969 -5 0.344077 0.328087 0.0523566 3.81647 22 123 21324 21323 1 0 0 3 
-2.75365 0.492041 5 0.454118 0.474551 -0.500759 4.03351 22 125 39617 39334 1 0 0 1 
-5 -0.856485 -0.226704 0.247837 -0.0100454 0.384615 3.73864 22 126 56358 56268 1 0 0 1 
-4.32293 5 -0.829973 -0.13946 -0.0515645 0.0889589 4.3286 22 127 24709 24708 1 0.172978 0.172978 21 
-3.5696 -3.39637 5 0.0672817 -0.223292 -0.240053 4.35834 22 130 18131 18130 1 0.255893 0.255893 3 
-5 -4.19141 -1.35958 6.26135 3.43177 0.519758 3.77997 22 132 58413 58355 1 0 0 1 
-2.18184 3.04689 -5 0.318962 0.299147 0.154271 3.79694 22 135 8813 8775 1 0 0 2 
-5 3.58087 -3.17448 0.34118 0.351129 -0.012497 3.90989 22 136 44630 44606 1 0.145151 0.145151 3 
-2.20939 -1.94525 -5 0.482325 0.269327 0.275915 3.7334 22 139 11468 11390 1 0 0 2 
-1.37675 -5 -1.71898 0.452736 0.21177 -0.136383 3.83201 22 142 25057 25017 1 0 0 2 
-0.6739 -5 -2.53596 0.264002 0.308302 -0.0212513 3.78545 22 143 20508 20321 1 0.0296169 0.0296169 12 
-5 -2.15215 -2.20395 0.661244 1.40954 -0.313405 3.806 22 144 1944 1914 1 0 0 2 
3.1365 -5 3.26406 0.118164 0.38875 -0.00746797 3.91586 22 149 7679 7678 1 0.189942 0.189942 6 
-0.796359 5 2.36804 0.121375 -0.0606709 -0.066832 3.9965 22 151 24661 24660 1 0.151011 0.151011 15 
-5 -3.2177 -0.483498 1.16817 0.951715 -0.847599 3.92468 22 152 16505 16430 1 0.503718 0.503718 28 
-5 -3.75111 0.698021 0.164654 0.270669 -0.400933 4.01665 22 153 26230 26229 1 0 0 2 
-5 -1.07327 -0.4689 1.20864 0.483731 0.517086 3.76567 22 154 16491 16488 1 0 0 3 
2.59153 -5 1.6628 0.504811 0.416095 -0.246741 3.86849 22 155 22501 22404 1 0 0 2 
-1.67578 -5 3.03262 0.390859 0.323308 0.0618156 3.80439 22 157 10970 10967 1 0 0 2 
-5 0.991267 1.61438 0.269327 0.191889 -0.389566 3.99651 22 158 8451 8450 1 0.545428 0.545428 18 
-4.25362 -5 2.25109 0.273213 0.249689 -0.327508 4.04456 22 159 17832 17792 1 0 0 2 
-0.51075 -5 -4.30137 2.42169 0.985439 -0.867376 3.84889 22 161 21381 21354 1 0 0 1 
-5 3.87747 1.84315 0.26431 0.3963 0.0501777 3.8085 22 162 39142 39048 1 0 0 1 
