# Det4_4_7
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.623734 5 2.16126 0.00516361 -0.240992 0.450573 3.62971 22 1 9125 9124 1 17.4271 17.4271 158 
-0.721196 5 2.28096 -8.57411 -58.0822 35.4919 3.60125 11 2 1 0 1 2.51741 2.51741 9 
5 2.04229 3.96178 -0.198262 -0.12146 0.0613638 3.62975 22 3 6815 6769 1 0.242043 0.242043 22 
3.75249 1.46989 5 -0.394976 -0.175531 -0.765505 3.90747 22 4 11402 11401 1 0 0 4 
4.48892 4.59126 5 0.0237839 -0.0251434 -0.167371 3.61018 22 5 6023 5466 1 25.1674 25.1674 337 
-1.31638 5 -0.804192 -0.314658 -0.292368 0.0370028 3.70519 22 6 18385 18372 1 0 0 2 
3.78515 5 3.52466 -0.780815 -2.58625 1.39837 3.61667 22 7 36101 35957 1 0 0 1 
5 0.604075 -1.31743 -9.51848 -3.50163 1.48283 3.61032 -11 8 11445 11444 1 9.26029 9.26029 57 
1.98641 -1.73008 -5 0.132157 0.0125902 0.493453 3.58533 22 9 16153 16140 1 0 0 3 
3.59534 -2.09832 5 -0.475739 -0.314745 -1.84355 3.96517 22 10 5675 5674 1 0 0 2 
-0.787864 5 -0.354457 -0.3349 -0.587065 0.224717 3.69442 22 11 53366 53281 1 0 0 1 
0.0488793 -1.34137 -5 -0.420918 -0.448631 0.634976 3.5717 22 12 3069 2910 1 1.53511 1.53511 35 
4.6779 -1.68019 5 -0.799145 -0.527224 -1.1203 3.78783 22 13 12522 12521 1 0 0 2 
5 1.37024 -1.96036 -0.348826 -0.221503 0.300627 3.61657 22 14 12674 12673 1 0 0 2 
5 -0.153013 -2.35859 -0.13138 0.131187 -0.157369 3.63586 22 15 37423 37410 1 4.53304 4.53304 80 
3.90462 5 4.4374 0.176052 -0.18296 -0.153533 3.82242 22 16 11141 11139 1 0 0 3 
5 -3.03417 1.72529 -2.32748 -5.04191 3.045 3.57966 -11 17 5027 5026 1 17.0512 17.0512 146 
-3.40537 -3.21045 5 -0.148503 -0.28179 -0.399576 3.84179 22 18 27444 27414 1 0.075588 0.075588 16 
5 0.471075 -1.31096 -0.495647 0.0107477 0.695705 3.57362 22 19 1135 1 1 0.675373 0.675373 24 
-0.781103 5 -4.23994 -9.58893 -4.03392 5.56239 3.57021 11 20 14891 13996 1 3.50496 3.50496 70 
5 -3.61631 -3.72553 -0.524848 -0.289299 0.398239 3.59519 22 21 9028 9027 1 0 0 1 
-0.146529 5 1.58787 -0.300892 -0.308238 -0.274906 3.72587 22 22 18592 18591 1 0 0 5 
5 -2.57549 0.654031 -0.160348 -0.210524 -0.0124351 3.7583 22 23 10057 10026 1 0 0 7 
-0.790557 0.887254 5 -0.26388 -0.390601 -0.197278 3.66847 22 24 4772 4759 1 2.31955 2.31955 84 
-0.967314 -3.20924 5 0.105871 -0.394436 -0.307135 3.73174 22 25 5807 5804 1 0.303193 0.303193 37 
4.56752 1.55751 5 -0.168771 -0.00414768 -0.780836 4.14804 22 26 7378 7352 1 0 0 4 
2.21562 5 -1.36314 -0.711431 -11.341 31.7506 3.56918 11 27 1 0 1 2.59188 2.59188 7 
