# Det0_4_18
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-2.80526 -3.49129 -5 -0.818574 -0.192683 0.691422 3.99443 22 1 11688 11332 1 0 0 4 
5 -4.95986 -2.79556 -0.649154 -0.418036 0.126499 4.0434 22 2 24796 24758 1 0 0 2 
1.32992 2.69254 5 -0.471086 -0.177713 -0.270427 4.1725 22 3 11074 10956 1 0.0990442 0.0990442 2 
-1.34927 -3.67456 -5 -0.644046 -0.209436 0.850689 4.00455 22 4 3640 3543 1 1.08689 1.08689 35 
-2.44301 5 4.76027 -0.168938 -0.418847 0.533221 4.03054 22 5 6179 6149 1 0.369545 0.369545 7 
5 0.711699 0.0428283 -0.384417 -0.220803 0.00345722 4.07385 22 7 5343 5298 1 0.443133 0.443133 13 
-4.06517 4.01579 -5 -0.338065 0.0202397 0.412063 4.18241 22 8 21931 21930 1 0.290803 0.290803 10 
5 1.43538 -1.71639 -1.12856 -0.0171587 1.23876 3.97372 22 9 52224 52185 1 0 0 1 
-0.0286895 -4.75809 -5 -0.977427 -0.229271 0.908687 4.00614 22 10 14879 14705 1 0 0 1 
4.55035 5 1.37514 -0.382476 -0.271772 -0.202417 4.11884 22 11 21114 21112 1 0 0 1 
-0.660726 3.83058 -5 -3.10652 -0.691648 7.36999 3.95177 22 12 4649 4490 1 0 0 3 
-0.529147 -0.210813 -5 -0.0432899 -0.138163 0.171765 4.12551 22 15 2985 2981 1 0.257761 0.257761 33 
4.51417 -2.90145 -5 -1.8676 0.107535 1.9007 3.97713 22 17 25827 25826 1 0 0 2 
-3.16864 -2.58663 -5 -0.219808 -0.00726614 0.314436 4.0439 22 18 18510 18508 1 0 0 1 
5 4.84229 -4.93273 -3.30371 -0.134357 1.78549 4.01078 22 19 38437 38176 1 0 0 1 
5 4.96103 1.78407 -2.74332 -0.752828 3.04163 3.99612 22 20 17198 17051 1 0 0 2 
5 3.78532 -2.95606 -0.995628 -0.0410925 1.55119 3.97285 22 21 24913 24732 1 0 0 1 
3.02277 -5 0.774973 -0.27123 0.327552 -0.116955 4.11963 22 22 40120 40119 1 0.44073 0.44073 19 
-1.83222 1.81839 -5 -1.3066 -0.502544 2.2678 3.96956 22 24 37681 37611 1 0 0 1 
0.248632 2.3526 5 0.0747847 0.0511636 -0.143847 4.16241 22 25 10902 10901 1 0.169665 0.169665 24 
4.43927 5 0.286108 -0.304419 -0.209604 -0.139615 4.15861 22 26 5601 5600 1 0 0 2 
5 -0.742841 -2.27754 -0.505536 -0.330442 -0.226556 4.15195 22 27 9271 9270 1 0 0 1 
5 4.68773 4.31687 -0.474731 -0.00605509 0.188981 4.09566 22 28 31846 31845 1 0 0 1 
5 3.47386 -1.12294 -0.999728 -0.278513 1.26172 3.9897 22 29 2203 2150 1 0.788902 0.788902 12 
-0.11613 5 2.02198 -0.309343 -0.307119 -0.266654 4.18979 22 30 1582 1581 1 0.510615 0.510615 27 
4.38293 -2.34103 -5 -3.60251 -0.936199 10.0907 3.94688 22 32 1791 1740 1 0 0 5 
3.57183 3.66999 5 -0.519702 -0.110118 -0.523352 4.10716 22 34 21967 21964 1 0.745355 0.745355 23 
5 1.69212 3.07578 -1.84149 0.235418 1.78254 4.0054 22 35 2229 2210 1 0 0 5 
5 -1.56119 4.5272 -0.29942 -0.120447 0.34077 4.04168 22 36 2204 2176 1 0 0 4 
5 2.23448 1.79266 -0.2877 -0.0521082 0.419086 4.02649 22 37 24574 24573 1 0 0 2 
5 1.41047 -4.30667 -0.87647 -0.00353816 0.673585 4.00471 22 38 41941 41913 1 0 0 1 
5 -2.1039 4.69311 -0.386615 -0.127004 -0.0954044 4.02953 22 39 8134 8127 1 0 0 5 
5 -4.85227 0.681637 -0.449301 -0.355652 0.0822751 4.0035 22 40 23818 23431 1 0.941752 0.941752 32 
-1.09256 -5 4.78665 -0.502103 0.226562 -0.0369167 4.12623 22 41 32427 32426 1 0 0 1 
4.73311 2.33494 5 -0.921434 0.273657 -0.763206 4.10952 22 42 28632 28605 1 0.577668 0.577668 22 
5 -0.376002 2.93149 -0.0836644 0.208069 -0.162915 4.26715 22 43 20344 20280 1 0.276728 0.276728 28 
