# Det3_4_20
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
5 1.20409 -4.44336 -0.171051 0.309936 0.126858 4.08162 22 1 3257 3256 1 19.178 19.178 107 
5 -1.43048 -3.23724 -0.312622 0.127373 0.383619 4.10769 22 2 3423 3422 1 0 0 11 
-2.92272 -0.470952 -5 -1.16803 -0.452257 5.33603 3.99779 22 3 2924 2652 1 0.665139 0.665139 39 
5 4.78823 -2.58522 -0.45582 -0.423346 0.450764 4.02016 11 4 17777 17776 1 0.326157 0.326157 4 
-1.89979 -3.83678 -5 -1.58637 -0.918354 10.1081 3.99267 22 5 4137 3811 1 0 0 12 
1.33923 4.45748 -5 -0.943894 -0.63601 2.51524 4.00923 22 6 7089 6897 1 0 0 3 
5 3.14826 -2.54752 -2.72457 -3.86646 0.998123 4.04238 22 7 15802 15801 1 0 0 5 
5 -0.367931 3.91372 -1.10616 -0.30246 1.84199 4.04064 22 8 19700 19558 1 0 0 6 
3.17346 -4.21002 -5 -0.00293168 -0.0398677 0.362203 4.02654 22 9 8137 8136 1 11.3442 11.3442 116 
-3.33026 -4.40856 -5 -0.204855 -0.103596 0.104798 4.14566 22 10 2803 2802 1 0.169045 0.169045 8 
4.95251 -2.72697 -5 -0.539955 -0.591995 3.43939 3.99813 22 11 14905 12661 1 0 0 8 
1.87604 1.86126 -5 -0.0143869 -0.034254 0.231984 3.99744 22 12 7021 6898 1 0.583247 0.583247 10 
4.66554 5 3.28672 -0.239471 -0.146782 0.136801 4.06573 22 13 10214 10212 1 0 0 6 
5 0.467859 2.25419 -0.428778 -0.272211 0.413631 4.05314 22 14 5535 5206 1 2.53125 2.53125 9 
3.26457 -2.20194 -5 -0.256089 -0.207285 0.390603 4.00345 22 15 13209 13208 1 1.11657 1.11657 17 
3.36182 -1.68684 -5 0.0271673 -0.254358 0.442362 4.03016 22 16 1243 1242 1 0.148816 0.148816 10 
5 -4.32694 2.33025 -1.23717 1.5566 0.891198 4.01905 -11 17 4464 4463 1 22.8427 22.8427 114 
4.02242 5 -3.41472 -1.06478 -1.88322 6.33919 3.99973 22 18 3004 1 1 0 0 8 
5 3.13485 -2.51072 -0.262738 0.159886 0.393355 4.03277 22 19 2573 2545 1 0 0 6 
4.70475 5 1.09569 -0.348443 -0.369838 0.0541054 4.03862 22 20 1152 1150 1 0.279866 0.279866 36 
4.00947 0.609602 -5 -1.30206 -0.855393 3.51085 4.00408 22 21 1909 1907 1 0.342404 0.342404 42 
-2.42446 0.188229 -5 -0.436802 -0.609484 1.93944 3.99988 22 22 2519 2386 1 1.01597 1.01597 20 
-1.53146 0.485721 -5 -0.807772 0.135055 0.6876 4.02216 22 23 12874 12292 1 1.18895 1.18895 33 
1.23227 1.56817 -5 -10.0057 -14.237 60.4065 3.99562 11 24 1 0 1 8.65619 8.65619 58 
5 -1.08418 -0.190021 -6.17991 -11.2577 22.7449 4.01541 22 25 4195 4161 1 9.44184 9.44184 98 
0.0627648 -4.63906 -5 0.123235 -0.184968 0.541265 4.05512 22 26 7824 7754 1 0.259536 0.259536 36 
2.14941 2.93427 -5 -0.097463 -0.03533 0.760487 3.99051 22 27 2514 2108 1 3.56904 3.56904 69 
5 -2.3441 -1.96523 -0.433677 -0.222222 0.153825 4.04531 22 28 9133 9129 1 5.13584 5.13584 43 
-1.6027 -0.335821 -5 -0.112406 0.114995 0.314203 4.14314 22 29 3035 3007 1 5.7901 5.7901 46 
-1.9323 2.331 -5 -0.317743 0.205278 0.231003 4.01919 22 30 13532 13506 1 0.878618 0.878618 54 
2.46258 4.9401 -5 -0.14856 -0.0620725 0.354634 4.00835 22 31 2913 2790 1 0.452869 0.452869 16 
1.92038 2.03837 -5 -0.322337 -0.223354 2.79174 3.99069 22 32 2371 2178 1 6.62929 6.62929 121 
1.85798 -2.61864 -5 -0.117694 -0.343663 0.359393 4.04219 22 33 8064 8045 1 3.7455 3.7455 119 
5 2.45557 -4.15494 -0.486888 -0.15506 -0.00409783 4.06096 22 34 15276 15275 1 5.65278 5.65278 146 
-0.44559 -2.64602 -5 0.1192 0.0199791 0.168087 4.01698 22 35 1019 1 1 14.984 14.984 162 
3.0401 5 2.04945 0.0610626 -0.325886 0.00945366 4.09238 22 36 5911 5889 1 1.41075 1.41075 30 
0.687785 1.9178 -5 0.146693 0.120101 0.466018 3.99126 22 37 2737 2658 1 15.3676 15.3676 127 
-4.65282 1.27531 -5 -0.344906 0.0650037 0.444271 4.01742 22 38 3848 3769 1 4.04421 4.04421 25 
2.51423 5 4.89554 -0.225428 -0.13016 0.136472 4.05039 22 39 2764 2437 1 2.73908 2.73908 44 
0.0930308 5 1.56998 -0.190554 -0.473495 -0.0247343 4.03091 22 40 11534 11533 1 1.14878 1.14878 31 
5 0.403965 -2.5525 -1.28321 0.188563 1.00058 4.01239 22 41 13413 13096 1 0 0 5 
-2.90269 -0.823053 -5 -0.402025 -0.102411 0.298342 4.04913 22 42 4574 4571 1 1.7122 1.7122 34 
5 -0.24293 3.63553 -0.432853 0.207505 1.12985 4.04385 22 43 10440 10081 1 0 0 3 
2.70766 0.640304 -5 -0.0707216 -0.196417 0.238434 4.05872 22 44 2622 2602 1 3.86073 3.86073 13 
-0.372277 -4.59194 -5 -0.0818204 -0.0544743 0.11148 4.06945 22 45 1431 1373 1 5.63953 5.63953 119 
0.249678 -1.05924 -5 -0.486157 -0.262145 0.169005 4.07979 22 46 3452 3133 1 0.382082 0.382082 24 
5 -4.553 -4.71741 -0.417857 -0.246032 0.161194 4.08665 22 47 11482 11481 1 0.470892 0.470892 25 
5 4.78371 2.40129 -2.08251 -0.240095 0.573418 4.0418 22 48 2251 2249 1 0.899245 0.899245 26 
5 0.623368 -1.898 -0.572632 -0.34949 0.290824 4.01886 22 49 1569 1459 1 0.646366 0.646366 24 
5 -4.0841 1.46148 -0.258304 -0.220516 0.381801 4.0644 22 50 8063 8062 1 0 0 5 
