# Det2_5_6
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
5 -3.13357 -2.26351 -0.140222 -0.0593902 0.432869 3.56518 22 1 38949 38948 1 0 0 2 
5 -2.72341 -2.67257 -0.0257184 0.132459 0.0291123 3.67591 22 3 32101 32074 1 0.137545 0.137545 31 
-3.56186 0.411053 5 -0.339395 -0.0058629 -0.381964 3.78655 22 5 4997 4996 1 0.682189 0.682189 31 
5 -0.843746 1.62531 -0.200852 -0.214159 -0.0987304 3.68533 22 7 35728 34385 1 0 0 2 
2.13284 -4.29715 -5 -0.664921 0.348876 0.382384 3.74678 22 8 35377 35358 1 0 0 1 
2.57059 -1.39001 5 -0.0878662 0.0285882 -0.502576 4.37262 22 9 36136 36134 1 0 0 1 
5 4.54515 0.197985 -3.29461 -0.706028 -0.60267 3.6613 22 11 30776 30775 1 0 0 1 
5 0.250669 -4.20929 -0.215921 -0.320308 -0.162322 4.15265 22 14 1553 1552 1 0 0 1 
5 4.93993 -3.76099 -1.16889 0.197317 -1.28357 4.09058 22 16 12642 12605 1 0 0 2 
1.91318 -2.4874 5 -19.3269 -9.12063 -53.7033 8.29226 2112 18 10782 10748 1 0.891416 0.891416 5 
5 -4.35068 2.79933 -0.465661 0.129516 -0.165846 3.73877 22 19 1772 1771 1 0 0 2 
0.326909 -5 4.09393 -0.203204 0.160341 -0.175202 3.82361 22 20 7286 7285 1 0 0 2 
5 -4.29097 -4.04124 -2.76749 -0.651757 -0.580774 3.64119 22 21 7178 7177 1 0.251655 0.251655 39 
-0.412135 -2.7368 5 -0.160897 -0.183416 -0.448988 3.95168 22 25 42537 42503 1 0 0 1 
-4.2281 5 -3.07461 -0.315653 -0.378274 0.135615 3.79896 22 26 18648 18631 1 0 0 2 
5 -2.50248 -1.98326 -0.470071 -0.0246923 0.198856 3.5958 22 27 1918 1894 1 0 0 1 
3.40756 5 1.89094 -0.248463 -0.285428 -0.132157 4.75282 22 28 13412 13385 1 0.413719 0.413719 14 
5 3.03822 4.63244 -4.02927 0.637263 3.89963 3.58797 22 29 23710 23684 1 0 0 3 
5 1.7476 -3.82034 -0.449236 -0.193434 0.147952 3.6034 22 30 24400 24379 1 0.252748 0.252748 5 
5 -1.94466 1.49051 -1.76099 -0.204124 0.332112 3.61123 22 33 4880 4833 1 0 0 4 
5 -3.81611 2.471 -0.164857 -0.0705653 0.252133 3.59356 22 36 1003 1002 1 0.524548 0.524548 22 
5 0.556096 3.88615 -0.182228 0.0861147 -0.469571 3.85588 22 37 37054 37040 1 0.510423 0.510423 36 
-3.18932 -2.36814 5 -0.20107 0.0447816 -0.218841 3.72505 22 39 1687 1685 1 0 0 1 
5 -3.95802 -4.02401 -0.491689 -0.15672 -0.0204646 3.58517 22 40 41940 1 1 0 0 1 
5 3.14214 4.82768 -0.444666 -0.00187189 -0.251771 3.79403 22 42 41914 41891 1 0 0 2 
5 -4.89682 3.17749 -0.763512 -0.246989 0.701469 3.60851 22 43 13489 9292 1 0 0 1 
5 1.21765 2.94408 -0.244682 0.0652106 -0.0194121 3.60129 22 44 21276 21093 1 0 0 1 
5 -1.88539 3.15722 -0.498336 0.0602245 -0.0956779 3.63426 22 49 21998 21997 1 0.510697 0.510697 20 
5 -2.06045 4.71156 -0.240263 -0.0105813 -0.178378 3.66718 22 53 11374 11302 1 0 0 2 
4.51571 -0.371459 5 -0.361374 -0.0198793 -0.262661 3.63724 22 55 23499 23455 1 0 0 1 
2.32449 2.82628 5 -0.265778 -0.152908 -0.40878 3.87338 22 56 24066 24063 1 0 0 1 
5 2.13006 1.64363 -0.325318 0.390449 0.053271 3.59162 22 60 21644 21606 1 0 0 1 
-3.4887 -2.3505 5 -0.100781 -0.154267 -0.223953 4.13362 22 62 5462 5461 1 0.612718 0.612718 29 
5 -4.725 -0.6737 -0.318743 0.0530759 0.39586 3.64885 22 65 18949 18948 1 0 0 2 
-4.71654 -3.57962 5 -0.342197 -0.0404427 -0.37734 3.90886 22 66 13905 13904 1 0.0522537 0.0522537 5 
5 -3.28464 1.45347 -0.505877 -0.0601116 -0.0399377 3.62584 22 67 2387 2385 1 0 0 1 
-5 -4.00043 -4.3903 0.0916299 0.143236 -0.0974838 3.73468 22 68 29333 29332 1 0.948258 0.948258 37 
5 2.19437 -3.69395 -0.250313 0.10881 -0.432 3.78219 22 70 32032 32003 1 0.0822521 0.0822521 25 
5 -4.71883 -1.20885 -0.240866 -0.177686 -0.261442 3.71687 22 71 2293 2292 1 0 0 1 
1.30042 1.48034 -5 -0.515396 -0.0716387 0.297633 3.57478 22 72 45643 45618 1 0 0 2 
5 -4.47886 -3.27336 -0.480459 -0.1136 -0.139332 3.67773 11 74 8389 8362 1 0.689949 0.689949 50 
-3.23655 -0.0646268 5 0.0837692 0.28275 -0.261513 3.72838 22 75 34085 34025 1 0.145416 0.145416 2 
5 2.40846 -1.33062 -0.23049 -0.150851 -0.186416 3.96033 22 76 54129 54109 1 0 0 1 
4.46247 -1.50157 5 -0.181688 -0.0905949 -0.0714799 3.67723 22 77 25899 18960 1 0.331927 0.331927 20 
5 4.13003 -0.0650951 -0.267432 0.0864929 0.0604078 3.60717 22 78 48318 40179 1 0 0 2 
4.53653 1.84578 5 -0.123297 0.147917 -0.473327 3.83488 22 79 9657 9656 1 0 0 3 
-5 2.90059 -3.17922 0.246201 -0.270187 -0.219466 4.12909 22 81 22246 22213 1 0.576493 0.576493 44 
4.99215 -0.985663 5 -0.491026 -0.058041 -0.129015 3.6971 22 82 62239 62204 1 0 0 2 
5 -4.2644 -3.31846 -0.418508 -0.190337 -0.223031 3.62618 22 85 23147 23143 1 0 0 2 
0.935948 2.22302 5 0.133678 0.127318 -0.08579 3.88271 22 86 26487 26463 1 4.84983 4.84983 86 
-3.3502 2.08083 5 -1.44395 -0.38263 -1.35134 3.78087 22 87 7024 6950 1 3.12349 3.12349 5 
-2.75984 -5 -0.818635 -0.266507 0.0407812 -0.0486272 3.75277 22 88 11588 11584 1 0 0 1 
3.77861 -1.37254 5 -0.022306 -0.564536 -0.496217 4.25974 22 89 17748 17685 1 0 0 1 
5 2.5051 -4.47303 -0.399433 0.156482 -0.277645 3.68883 22 91 50720 50719 1 0 0 1 
5 -0.354473 -2.48655 -0.494515 0.0274954 -0.125773 3.6456 22 92 10034 10033 1 0 0 1 
4.65813 -5 4.82557 -0.0754925 0.180949 -0.0481074 3.83241 22 93 28034 28010 1 0.171856 0.171856 20 
5 -3.62216 -3.75354 -0.53702 0.214494 0.111412 3.59343 22 96 11780 7993 1 0.274063 0.274063 12 
5 -3.81893 -2.16837 -2.36148 -0.210226 0.854174 3.56565 22 97 23579 23578 1 0 0 1 
-4.1871 -1.33767 5 -0.875551 -0.0358216 -1.31861 3.78763 22 98 44654 44556 1 0 0 1 
-2.72302 1.12598 -5 -5.18431 1.12509 3.47013 3.57545 22 100 1709 1708 1 0 0 1 
2.94962 1.46532 5 -0.254883 -0.0364425 -0.441392 3.88542 22 101 11658 11624 1 0 0 1 
5 -2.19439 -4.67439 -0.154474 0.0748174 -0.114629 3.63689 22 102 24347 24326 1 0 0 2 
5 -1.42879 4.79912 -0.220077 0.157732 -0.28676 3.78537 22 103 34390 34358 1 0 0 1 
5 -0.934045 2.93127 -1.20692 0.182061 -0.209256 3.61946 22 104 11021 11004 1 0.543769 0.543769 23 
5 -4.01403 2.20714 -0.401698 -0.0456983 -0.312523 3.68591 22 106 19048 19010 1 0 0 2 
4.27919 -2.58891 5 -0.174963 -0.00317146 -0.480102 4.03746 22 108 2270 2269 1 0.175395 0.175395 21 
-1.23895 5 2.31001 0.137493 -0.12712 0.475454 4.11514 22 109 12445 12403 1 0 0 2 
5 -2.03296 -0.473153 -0.386025 0.0609222 0.0711851 3.60691 22 111 21570 21569 1 0 0 1 
0.182282 -5 4.30803 0.0521243 0.301861 -0.333873 3.8379 22 112 1118 1116 1 0 0 2 
5 -0.144066 3.90963 -0.412761 -0.197766 0.115637 3.64312 22 113 61019 42545 1 0 0 1 
5 3.88417 -1.94822 -0.332373 0.00524143 -0.388098 3.93145 22 114 8706 8703 1 0 0 2 
4.7158 1.66048 5 -0.149304 -0.0335562 -0.361723 4.0115 22 115 19782 19755 1 0.255304 0.255304 4 
-5 2.85586 2.71764 0.452356 0.140566 0.255364 3.8491 11 116 11053 11029 1 0.256483 0.256483 6 
5 -3.37739 3.89699 -0.627795 0.196388 0.570619 4.57713 22 117 17397 17291 1 0.04527 0.04527 6 
5 0.485729 4.63528 -1.58642 0.106842 0.177778 3.6466 22 118 46687 46672 1 0 0 2 
-1.15882 4.78147 -5 -1.23471 0.29274 0.798295 3.58356 22 119 44804 44779 1 0 0 1 
3.28099 -4.96472 5 -0.401779 0.0512676 -0.053182 3.67321 22 121 4395 4337 1 0.408317 0.408317 15 
5 -0.967364 -1.39566 -0.391025 -0.0275203 0.320718 3.57424 22 122 24919 24816 1 0 0 1 
-3.12672 -2.14003 5 -0.335595 -0.0549478 -1.32278 4.2513 22 123 11256 11219 1 0.942329 0.942329 2 
-1.84233 -3.37534 5 -1.9631 -0.095296 -0.342955 3.62996 22 124 46152 46087 1 0 0 1 
5 -4.01517 -4.64742 -0.114131 -0.0319893 -0.184324 3.77497 22 125 40475 40423 1 0 0 1 
-3.34465 3.8608 -5 -0.334253 -0.0345593 0.208004 3.70551 22 126 54537 54536 1 0 0 1 
5 -2.70544 4.03234 -0.253583 -0.13652 -0.422111 3.89201 22 127 27754 27753 1 0 0 2 
5 3.6803 -1.40303 -0.872778 0.78246 1.50994 3.55097 22 128 15399 15376 1 0.445468 0.445468 27 
5 0.759419 -4.49266 -0.470556 -0.0326527 -0.196547 3.65253 22 129 34910 34880 1 0 0 1 
0.964855 -1.35549 5 -0.588417 0.453735 -1.12159 3.80216 22 132 27839 27812 1 0 0 1 
5 -1.6399 -2.69996 -0.101642 0.00745536 -0.500733 3.88431 22 133 35552 35536 1 0 0 1 
5 2.99497 0.858724 -1.04944 0.00807774 -0.00259508 3.70662 22 139 2508 2344 1 0 0 2 
-5 -0.758591 0.076931 0.15951 -0.0786193 -0.221136 3.87455 22 140 45855 45854 1 0 0 1 
5 0.339286 -3.74558 -0.512284 0.176246 0.190497 3.54984 11 141 17195 17191 1 0.257705 0.257705 1 
-2.85704 1.24633 5 -0.0497657 0.0205192 -0.435789 4.4014 22 143 27595 27592 1 0 0 2 
-4.79812 1.35523 5 -0.375461 0.245613 -0.244588 3.651 22 148 29197 29196 1 0 0 2 
5 -0.619014 4.21423 -0.240033 -0.0782881 -0.444269 3.94082 22 150 36275 36274 1 0 0 1 
-2.71836 2.88303 5 -0.199459 0.11834 -0.361104 3.8533 22 154 14635 14634 1 0 0 1 
5 0.597161 -0.952544 -0.581792 -0.0996164 -0.104906 3.73973 22 157 30747 30692 1 0 0 1 
4.10495 -0.628483 5 -0.210227 -0.0278497 -0.464918 3.91752 22 159 34152 34119 1 0 0 2 
5 -2.53048 3.47783 -0.437006 -0.00419443 0.264817 3.58727 22 160 6245 6214 1 0 0 3 
3.82861 -2.46857 5 -0.432409 0.012241 -0.630023 3.8195 22 161 5599 5529 1 0 0 2 
5 1.59496 -3.15073 -0.454636 0.2276 -0.0512221 3.80174 22 162 5108 5107 1 0 0 3 
4.78405 -4.9174 5 -0.406333 -0.06005 -0.303985 3.72369 22 163 51378 51377 1 0 0 1 
5 -4.53833 1.46952 -0.229175 -0.118557 0.0128962 3.77457 22 164 26649 26648 1 0.915133 0.915133 6 
1.79757 3.0308 5 -0.135041 -0.0172222 -0.379691 4.23681 22 165 9979 9976 1 0 0 1 
3.08312 -5 1.78283 -0.133077 0.199237 0.155681 3.64253 22 168 1688 1687 1 0 0 3 
5 4.11343 2.55276 -0.213703 0.0812131 -0.457007 3.99076 22 169 10989 10978 1 0 0 1 
5 -1.99992 2.66543 -0.948206 -0.478395 0.435901 3.63014 22 172 3212 3209 1 0.232973 0.232973 6 
4.67343 5 -4.56685 -0.106303 -0.297447 -0.0174582 3.57061 22 173 39151 38562 1 0 0 1 
5 -0.427355 2.34875 -3.80489 -1.46023 2.89409 3.57897 22 175 14453 14452 1 0 0 5 
1.48088 -0.0131412 5 -0.381304 0.0841823 -0.329606 3.82776 22 176 43354 43352 1 0.510813 0.510813 14 
5 0.0385695 0.418674 -0.299458 -0.0791061 -0.0416782 3.58233 22 177 10208 10205 1 1.17259 1.17259 41 
1.50087 4.42185 -5 -2.28373 0.397952 3.31267 3.54531 22 179 16974 16866 1 0 0 1 
5 0.106051 2.11903 -0.342806 -0.126125 -0.353186 3.93992 22 181 42861 42860 1 0 0 1 
5 -0.293651 1.90983 -0.263818 -0.0127359 -0.437445 3.70476 22 183 44560 44559 1 0.510415 0.510415 39 
5 1.41449 1.69765 -2.20336 -0.591705 0.0860587 3.61567 22 184 37236 37234 1 0 0 1 
5 -2.58225 2.51182 -0.148493 0.0159639 -0.481575 4.05397 22 185 42578 42577 1 0 0 1 
5 2.77492 -3.06463 -0.209742 -0.198146 -0.179664 3.85591 22 186 26855 26854 1 0 0 1 
5 1.19898 -0.717688 -0.487934 -0.077783 -0.130348 3.69227 22 187 9282 9259 1 0.0542237 0.0542237 3 
2.96312 3.16292 5 -0.282389 -0.0430319 -0.0434016 3.64951 22 188 28418 28221 1 0.25929 0.25929 15 
5 -0.574093 -1.03059 -0.495338 -0.0735217 0.0618735 3.63134 22 190 40736 40735 1 0.504361 0.504361 19 
0.878378 -5 3.51993 -0.27352 0.5766 -0.206489 3.64801 22 192 26011 25946 1 0 0 2 
3.58121 5 0.761605 -0.153352 -0.175361 -0.120466 3.59954 22 193 60826 60782 1 0.0177507 0.0177507 2 
-2.38001 -5 -1.63741 -0.725097 0.283373 0.324178 3.61331 22 195 7253 7207 1 0 0 1 
-2.21792 -5 -0.446851 0.025252 0.0993403 -0.17843 3.97213 22 197 36819 36806 1 0 0 1 
1.46047 -5 -4.46232 -0.72775 0.107431 -0.559239 3.72581 22 199 36763 36762 1 0 0 5 
5 3.96478 -3.94996 -0.305557 0.330522 -0.183522 3.6417 22 200 11665 11664 1 0 0 1 
5 3.30058 4.0123 -1.41964 0.470763 0.324828 3.61846 22 202 6497 6446 1 0.0305938 0.0305938 6 
-3.22713 3.78725 5 -0.0695651 0.000667311 -0.498955 3.96027 22 203 11989 11978 1 0 0 3 
5 3.7521 3.96392 -0.486391 0.102637 0.118361 3.59217 22 209 13089 13064 1 0 0 1 
5 0.488916 -4.818 -0.214868 7.44087e-05 -0.29817 4.04461 22 210 26851 26850 1 0 0 1 
-4.62115 0.674249 5 -0.088605 0.0978415 -0.19018 3.81617 22 212 17097 15276 1 0.224719 0.224719 4 
5 -3.50219 1.89585 -0.23411 -0.136501 -0.132677 3.65565 22 214 32510 26388 1 0.289063 0.289063 3 
5 1.65899 1.48194 -0.505683 -0.0175366 0.0713908 3.62749 22 216 32981 32980 1 0.333229 0.333229 2 
5 -1.6844 1.74375 -0.618779 -0.00654355 0.370289 3.60828 22 217 11068 11067 1 0.288043 0.288043 26 
5 -0.639658 3.40356 -0.359807 0.011771 0.103082 3.6123 22 218 18566 17927 1 0 0 1 
-3.10667 5 -4.92141 -0.115683 -0.191509 0.0957754 4.18015 22 219 8655 8626 1 0.277865 0.277865 5 
5 -4.19839 3.63263 -0.153304 0.0801353 -0.419522 3.87674 22 220 20591 20572 1 0.630752 0.630752 30 
5 3.35214 -1.73766 -0.244438 -0.195644 -0.286971 3.76739 22 221 13295 13273 1 0 0 1 
5 0.391138 -3.06793 -0.667141 -0.182679 0.126704 3.5881 22 222 28366 28329 1 0 0 1 
1.13339 5 -1.66727 -0.303149 -0.225757 -0.26609 3.74052 22 223 14665 14664 1 0 0 1 
4.36727 5 -1.39204 -0.461366 -0.195755 -0.524365 3.76116 22 224 10177 10118 1 0 0 2 
5 -4.58176 2.06027 -0.208616 0.0915607 -0.128914 3.70631 22 227 37297 37228 1 0 0 1 
5 -1.40037 -2.59212 -0.506157 -0.0309493 0.688457 3.55066 22 228 11009 11008 1 0 0 1 
-0.298979 0.241157 5 -0.509444 0.0719606 -0.842229 3.88288 22 229 22764 22763 1 0 0 4 
-1.7692 -5 0.972262 -0.2103 0.064973 0.0920023 3.63189 22 230 10810 10809 1 1.33677 1.33677 12 
5 4.05834 -3.53464 -4.33093 1.21326 0.608599 3.58047 22 232 28520 28431 1 0 0 1 
5 4.07805 2.5066 -0.497014 0.0704826 -0.095545 3.65606 22 233 5389 5388 1 0 0 4 
5 4.4465 -1.87258 -1.36307 1.40942 -1.19953 3.78242 22 235 6166 6141 1 0 0 1 
0.659007 -1.90602 5 -0.038732 -0.0868631 -0.175769 3.71309 22 236 33800 33799 1 0.00420782 0.00420782 2 
5 -0.128625 2.73446 -0.170968 0.0467369 -0.270091 3.6935 22 237 30210 30104 1 0.322694 0.322694 25 
-4.36273 0.347658 -5 -0.497375 0.111676 0.0355836 3.64288 22 238 10369 10368 1 0 0 1 
1.80441 -0.723265 -5 -0.802055 -0.519257 0.902416 3.55743 22 240 26661 26630 1 0 0 1 
0.247343 -2.24393 5 -0.908743 -0.09632 -1.24454 3.83406 22 241 12603 12602 1 0 0 2 
3.14113 4.58882 -5 -0.712129 -0.0131543 0.874315 3.5467 22 242 21306 21246 1 0 0 1 
5 -1.07353 1.65384 -0.279534 -0.109833 -0.413422 4.00894 22 244 3855 3854 1 0 0 1 
5 -4.20076 4.40266 -0.728121 -0.538338 2.11649 3.56117 22 245 35845 35792 1 0 0 1 
0.288146 -0.796982 5 -0.198275 -0.0415534 -0.153723 3.70219 22 246 32873 32658 1 0 0 1 
3.93924 -2.75283 5 -0.13757 -0.00250211 -0.492126 4.13003 22 247 10014 10013 1 0.564509 0.564509 30 
5 -3.51281 -3.34501 -0.407104 0.0785561 0.298689 3.56056 22 248 16633 16599 1 0 0 3 
5 -0.422828 -0.877595 -0.27832 0.167455 -0.0358884 3.71623 22 249 37026 37004 1 0.326332 0.326332 32 
-4.87667 -5 0.738928 -0.0422994 0.175999 0.0356502 3.87265 22 250 3360 3338 1 0 0 3 
5 -4.92306 -2.20359 -1.03654 -0.411262 0.264336 3.66234 22 251 39441 39439 1 0 0 1 
5 -1.29668 -0.407875 -0.36811 0.0326982 0.0274447 3.59733 22 252 43954 43500 1 0 0 1 
5 4.99291 4.61524 -0.923242 0.00698675 0.183632 3.64153 22 253 42638 42509 1 0 0 1 
5 1.16925 -1.52018 -0.404263 0.2068 0.0786337 3.64245 22 255 2173 2170 1 0 0 1 
3.35002 5 -0.358716 -0.0265955 -0.0128593 -0.00377445 3.61423 22 256 28099 28087 1 0.237955 0.237955 45 
5 2.22583 -4.45713 -0.429048 -0.273479 0.0474054 3.58851 22 259 48479 48478 1 0 0 1 
5 0.78888 -3.99813 -3.25121 -0.514018 1.49264 3.57225 22 261 25721 25660 1 0.245749 0.245749 25 
5 -4.72527 -1.78093 -0.228125 0.0253913 -0.211439 4.12185 22 262 1044 1043 1 0 0 2 
5 -1.39594 -4.59172 -0.250543 -0.0507586 -0.143641 3.80586 22 264 6601 6600 1 0 0 1 
5 1.12442 -2.15479 -0.292386 -0.0617925 -0.324496 3.74213 22 266 23714 23688 1 0 0 1 
5 -0.780147 2.29381 -0.798736 0.118047 0.206514 3.59106 22 267 28109 22768 1 0.297706 0.297706 2 
5 -1.0916 3.08396 -0.420078 -0.281238 -0.074566 3.64136 22 268 19787 19786 1 0.225398 0.225398 6 
5 4.77362 3.25049 -0.431015 -0.0954481 0.257363 3.6093 22 270 20623 20584 1 0 0 2 
5 2.54204 -1.87137 -1.13124 0.679334 -0.464346 3.64171 22 271 36226 36223 1 0 0 1 
5 -4.66869 2.33896 -1.04073 -0.300905 0.203042 3.62214 22 272 7209 7068 1 0 0 3 
5 -3.17243 -0.719659 -0.339409 0.00868397 0.0403015 3.60765 22 274 34639 34638 1 0 0 1 
0.692896 -2.72006 5 0.0225399 -0.0663675 -0.224153 3.91343 22 275 32294 32293 1 0.23454 0.23454 18 
2.95843 -2.35858 5 -0.372803 -0.20488 -0.283129 3.71004 22 278 15826 15806 1 0.510653 0.510653 25 
2.4589 -5 4.37569 -0.314643 0.106283 -0.38836 3.78902 22 279 14070 14066 1 0.690798 0.690798 32 
-4.76358 3.94557 5 -0.917529 0.142882 -0.434199 3.70403 22 281 20765 20763 1 0 0 1 
5 4.11689 3.77339 -0.39605 0.115436 -0.483172 3.8593 22 282 59776 59775 1 0 0 1 
5 3.02147 -0.338298 -0.303674 0.0581478 -0.516479 4.01738 22 284 22527 22525 1 0 0 1 
1.23624 1.79478 -5 2.46362 6.80708 3.49474 3.62807 11 285 57043 55725 1 1.56996 1.56996 13 
-1.31859 -0.103362 5 0.0517214 0.0640424 -0.504325 3.72702 22 286 7502 7501 1 1.21978 1.21978 37 
-1.07055 1.99784 5 -1.42808 0.835329 -4.57375 4.03485 22 289 15826 15825 1 0 0 1 
5 4.41358 3.6362 -0.805565 -0.0411197 -0.397789 3.67475 22 293 11229 11198 1 0.606651 0.606651 2 
1.38884 -1.99053 5 -0.34255 -0.241109 -0.21419 3.80149 22 294 14886 14884 1 0.244577 0.244577 17 
5 -3.32794 -0.600989 -0.24022 0.0713684 -0.06626 3.86782 22 297 41351 41350 1 0 0 1 
5 1.59065 3.40341 -0.195955 0.0207988 0.209225 3.5945 22 299 43860 43799 1 0 0 1 
-1.69436 5 -3.02843 -0.231471 -0.166734 0.226046 3.67475 22 301 54021 54020 1 0 0 1 
3.49302 -0.836375 5 -0.153535 0.0228236 -0.196858 3.8048 22 302 14627 14243 1 0.478151 0.478151 32 
5 3.99215 4.32197 -3.28818 -0.0708076 1.65952 3.62068 22 305 34051 34050 1 0 0 1 
5 3.87625 1.68096 -0.135747 0.274137 0.409319 3.63873 22 306 6160 6157 1 0 0 1 
-0.313799 -1.50893 5 -0.15063 0.0856898 -0.29276 3.92771 22 307 4049 4047 1 0.15473 0.15473 18 
-5 -1.72979 -3.542 0.154673 0.0470094 0.0606884 3.74496 22 311 40284 40250 1 0.17214 0.17214 34 
2.39 5 -1.95584 -0.107676 -0.102295 -0.0674414 3.63141 22 312 37148 37121 1 0.174918 0.174918 4 
1.15249 4.42438 5 -1.27784 0.27154 -5.06065 3.90955 22 313 24205 24184 1 3.96986 3.96986 10 
4.71562 2.20869 5 -0.355306 0.0381649 -0.206266 3.80496 22 315 32478 32476 1 0.427791 0.427791 5 
