# Det10_6_10
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-5 1.05503 -0.472773 1.29654 0.220614 -0.324449 3.95172 22 1 22733 22660 1 0 0 1 
3.31166 5 2.47477 0.0691694 -0.376126 -0.12696 4.15736 22 4 21952 21951 1 0 0 1 
-5 -0.5618 1.58171 0.406719 -0.0358926 -0.307265 4.02417 22 5 32372 32370 1 0.510511 0.510511 31 
-5 -3.2813 2.31127 0.483138 -0.0868835 -0.110648 3.81984 22 6 9090 6897 1 0 0 1 
-5 -4.77136 4.65078 0.73877 -0.427304 -0.136246 3.80849 22 7 3683 3622 1 0 0 3 
-5 0.963895 -4.28517 0.811666 0.268167 -0.190362 3.83173 22 8 12355 12354 1 0 0 2 
2.49662 4.85239 5 0.250621 0.00583955 -0.165164 3.85227 22 9 1810 1809 1 0 0 2 
4.62486 4.53769 -5 0.634744 -0.040453 1.24793 3.70587 22 11 1287 1 1 0 0 2 
-3.58365 -0.939679 5 0.469002 -0.0452252 -0.116304 3.91534 22 12 26453 26452 1 0 0 1 
0.0740849 -0.33354 5 0.0787672 0.193037 -0.466532 3.97771 22 13 23379 23378 1 0 0 2 
-5 0.000444347 -3.5761 0.899431 -0.0712563 0.660148 3.71812 22 14 14948 14837 1 0 0 3 
-5 1.93097 -1.85135 0.195133 -0.142703 -0.221435 3.94431 22 15 11811 11810 1 0 0 2 
-3.51883 5 -0.678115 0.12987 -0.171219 -0.0762301 4.01028 22 18 12719 12689 1 0.491229 0.491229 28 
-5 -2.79316 1.74573 4.90419 2.78253 -0.765257 3.80935 22 19 1305 1271 1 0.00583619 0.00583619 7 
1.33741 -5 0.636011 -0.20463 0.109567 0.102303 3.79994 22 21 15204 15203 1 0 0 1 
-3.95289 -0.885206 5 -0.0914333 0.0973892 -0.244463 3.9099 22 24 45304 45303 1 0 0 1 
-3.86066 5 2.94978 0.0138677 -0.320073 -0.164233 4.16768 22 25 44339 44312 1 0 0 1 
-5 0.293077 2.88425 0.140742 -0.0468446 0.147916 4.2049 22 26 13371 13370 1 0 0 2 
-5 0.46567 3.82497 0.472557 -0.160015 -0.110477 3.82107 22 29 2829 2826 1 0.0222152 0.0222152 2 
-5 -3.78685 -3.39567 0.349513 0.129184 -0.349674 4.1247 22 30 30313 30274 1 0 0 2 
-3.13099 -2.54571 5 0.0694993 -0.0455827 -0.222938 4.01515 22 31 36006 36004 1 0.237493 0.237493 28 
-5 -3.5382 0.332854 1.17573 -0.0976888 -0.482699 3.89761 22 32 3641 3572 1 0.241306 0.241306 4 
0.13887 -5 4.01753 -0.0878189 0.261127 0.171892 3.79936 22 33 29532 29339 1 0 0 1 
-5 -0.426067 -4.39214 0.401206 0.0864902 -0.304423 3.89344 22 34 9750 9721 1 0 0 2 
1.95787 -3.70513 5 -0.0816335 0.113576 -0.207685 5.07431 22 35 22592 22591 1 0.249866 0.249866 31 
-1.64846 -4.72624 -5 0.220157 -0.134659 0.576036 3.72487 22 36 56256 56223 1 0 0 1 
-2.10979 -5 -0.0190122 1.23247 0.250178 -0.659787 3.99503 22 37 36047 35990 1 0 0 1 
-5 -3.8073 -1.07634 2.36107 0.368143 1.49055 3.74771 22 38 34597 34529 1 0 0 1 
-5 4.30469 -4.77505 0.201271 0.0859566 -0.205505 4.02611 22 39 14964 14865 1 0 0 1 
-5 -0.854767 -4.963 0.312964 0.0349526 0.15678 3.76118 22 40 8658 7826 1 0 0 1 
4.76686 -5 2.46839 0.0313238 0.225694 -0.360031 3.91034 22 42 20255 20117 1 0 0 1 
-4.01741 2.43653 5 -0.014727 0.182729 -0.191019 3.80592 22 43 2937 2891 1 0 0 3 
-5 -2.45191 -1.67912 0.661771 0.16121 -0.00745218 3.83873 22 45 35537 35536 1 0 0 1 
-5 0.876204 -2.50926 0.386364 -0.0650131 -0.223164 3.94681 22 46 12526 12525 1 0 0 3 
-5 1.46935 -0.148231 0.387422 0.124645 0.309011 3.73696 22 47 37611 37610 1 0 0 1 
1.41819 3.55394 -5 0.373715 0.0290389 0.283363 3.73483 22 48 11713 11634 1 0 0 1 
