# Det0_10_7
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
5 2.92671 -1.91798 -0.804786 1.29609 0.186253 3.7694 22 5 24549 24517 1 0 0 1 
5 4.19048 -1.81947 -0.287156 0.252065 -0.00768106 3.76859 22 7 8621 8620 1 0.0355519 0.0355519 4 
-1.13256 -5 2.41412 -0.20725 0.173408 -0.111075 3.86964 22 9 51432 51431 1 0 0 1 
-1.43625 -5 -3.79401 -28.8052 19.4845 -42.6768 9.36109 2112 18 10781 10748 1 0 0 1 
-3.02563 4.08843 5 -0.176514 0.0763733 -0.21343 4.07522 22 19 8037 8008 1 0.286839 0.286839 31 
5 4.14694 2.98167 -0.320518 0.734996 -1.26517 4.23056 22 23 17360 17195 1 0 0 1 
-0.486135 -5 0.432119 -0.22611 0.207276 -0.112625 3.91636 22 28 11279 11278 1 0 0 1 
5 4.09847 2.3943 -1.69991 1.51397 -2.22373 4.08203 22 31 32935 32770 1 0 0 1 
-0.472518 3.46027 -5 -0.553818 0.621194 0.387289 3.70382 22 32 35543 35469 1 0 0 1 
1.02913 -4.89272 5 -0.255347 0.166223 -0.255031 3.97443 22 33 46266 46265 1 0 0 1 
-1.68895 -5 1.49551 -0.205269 0.156365 -0.33723 4.09088 22 41 17466 17432 1 0 0 1 
4.27406 -1.33404 5 -0.318588 0.242836 -0.317258 3.83537 22 42 41218 41217 1 0 0 1 
2.12051 -1.94828 -5 -0.528674 0.429545 0.270225 3.70795 22 43 9459 9292 1 0 0 1 
5 -4.25983 -0.612836 -0.272247 0.0941902 -0.239316 4.03873 22 59 41541 41540 1 0 0 1 
5 2.76155 2.67765 -0.149844 0.257686 0.18201 3.7833 22 63 37173 37153 1 0 0 1 
-3.61151 1.60716 5 -1.49608 2.00802 -2.19066 4.09141 22 65 24996 24971 1 0 0 1 
-3.7573 -5 -4.46848 -0.340528 0.515335 -0.652332 4.46206 22 68 61740 61739 1 0 0 1 
1.98623 -5 1.71858 -2.55066 1.01735 -1.62456 3.92635 22 76 11909 11759 1 0 0 1 
-2.35699 3.55734 5 -0.320584 0.336809 -0.21191 3.99175 22 78 15696 15695 1 0 0 1 
0.0955679 -1.5577 5 -0.208996 0.247567 -0.39516 4.20944 22 83 32895 32894 1 0 0 2 
-2.55797 0.979274 5 -0.130174 0.158513 -0.218224 3.83848 22 85 31485 31353 1 0 0 1 
5 2.06139 -3.67136 -0.324641 0.375285 0.122024 3.70735 22 87 36904 36872 1 0.0565233 0.0565233 3 
5 0.879202 4.27995 -0.208567 0.40132 -0.0824028 4.01712 22 94 45441 45440 1 0 0 1 
5 -4.07548 0.538549 -0.430802 0.298562 -0.0993058 3.9657 22 97 4129 4128 1 0 0 2 
-1.06669 -5 -3.39187 -1.42411 1.79909 -2.20669 4.22964 22 99 37519 37518 1 0 0 1 
3.62374 2.31071 5 -0.179584 0.122189 -0.461079 4.45555 22 103 20164 20162 1 0 0 2 
-0.479558 -5 4.48625 -0.225079 0.109223 -0.449273 4.10043 22 115 21385 21384 1 0 0 2 
-2.03669 2.52536 5 -0.0856324 0.265556 -0.337347 4.01073 22 119 39924 39923 1 0 0 1 
0.681188 -0.225129 -5 -0.937221 0.902174 0.49465 3.68946 22 127 28383 28329 1 0 0 1 
-0.345046 -3.90992 5 0.139542 0.207522 -0.661582 4.19519 22 133 2783 2721 1 0 0 1 
4.32475 -5 4.8129 -0.210442 0.202744 -0.4192 4.10983 22 138 5336 5333 1 0 0 1 
5 -4.56788 3.13004 -0.237938 0.119593 -0.0554413 4.12511 22 139 14954 14930 1 0 0 1 
0.336999 -5 2.86534 -0.375747 0.317259 -0.877046 4.28637 22 153 39732 39683 1 1.00464 1.00464 57 
-1.58835 -3.85174 5 -0.132893 0.167915 -0.404829 4.04126 22 159 42989 42986 1 0.457425 0.457425 38 
5 -4.93594 -1.53089 -0.259219 -0.0509077 0.0384703 4.45281 22 161 9181 9180 1 0 0 2 
5 4.39099 0.223666 -0.342396 0.3488 -0.149076 3.96433 22 167 45381 45380 1 0.187886 0.187886 2 
2.07285 -1.9761 5 -0.211976 0.198451 -0.14089 3.93892 22 168 30763 30762 1 0 0 1 
3.37336 -5 -0.319604 -0.627625 0.505024 -1.11523 4.2349 22 170 32964 32963 1 0 0 1 
1.46979 -5 -1.42648 -0.253215 0.276403 -0.347281 3.99877 22 172 8902 8873 1 0 0 2 
